,NU00295,NU00429,NU00431,NU00468,NU00759,NU00826,NU00866,NU00908,NU01094,NU01115,NU01405,NU01420,NU01482,NU01713,NU01798,NU01929,NU02064,NU02359,NU02514,NU02738
CD11c+ 0-100,27546,397,334,49,159,17982,13,520,30656,36006,4724,3655,735,62,24454,1269,3130,11288,559,4254
CD11c+ 100-200,1235,894,692,164,272,4400,64,897,4453,15699,4447,4283,1643,174,11814,2648,5220,13058,1057,4992
CD11c+ 200-300,176,1421,813,245,356,993,121,941,1764,6350,2287,3261,2293,330,2826,3481,5037,9497,1191,3825
CD11c+ 300-400,10,1752,886,438,424,335,212,947,1155,2956,842,3124,2415,421,1122,3490,4017,7601,1327,2084
CD11c+ 400-500,0,2100,1024,570,482,52,261,770,838,2206,276,2511,2671,380,388,3160,2731,5429,1369,1187
CD163+ 0-100,527,60,325,3,102,37635,31,16,52479,614,291,2088,5,247,732,454,106,8940,17,375
CD163+ 100-200,14,141,661,17,176,6661,78,21,10871,300,268,3154,6,382,337,1060,173,10396,16,545
CD163+ 200-300,4,282,835,32,263,1405,176,19,4977,134,107,3225,9,356,62,1191,151,7757,26,395
CD163+ 300-400,0,332,919,40,320,352,293,16,3205,42,66,3510,15,426,42,1056,144,6185,54,246
CD163+ 400-500,0,379,1061,27,419,15,432,8,2100,32,7,3107,10,544,17,866,82,4469,37,89
CD205+ 0-100,775,3,47,0,1,2130,11,33,2946,95,98,166,23,19,3119,44,238,1525,37,4
CD205+ 100-200,43,8,147,0,3,436,74,32,690,44,49,169,43,33,1674,107,387,1890,79,2
CD205+ 200-300,2,18,225,0,2,68,90,10,216,23,28,163,38,46,387,128,371,1539,85,1
CD205+ 300-400,0,24,260,0,3,24,83,2,154,5,13,244,39,54,179,151,315,1347,78,2
CD205+ 400-500,0,15,241,7,5,4,119,4,120,4,3,295,70,52,55,136,226,916,61,3
CD206+ 0-100,3859,7,50,4,114,12393,49,51,39180,697,5295,3710,540,288,291,917,1008,9624,85,950
CD206+ 100-200,144,12,95,7,165,2464,165,98,8317,386,5226,5485,1380,531,131,2083,1707,10881,99,1398
CD206+ 200-300,10,41,143,30,253,521,308,113,3916,164,2755,5166,1761,653,26,2581,1657,8015,154,1044
CD206+ 300-400,0,55,192,29,331,85,385,86,2619,61,1020,5620,1939,805,17,2826,1267,6448,196,604
CD206+ 400-500,0,31,221,30,458,9,453,82,1844,46,359,4837,2091,994,3,2496,949,4495,144,278
CD8+ 0-100,75,1,1,0,0,57,0,9,132,116,9,24,20,8,22,11,9,368,2,0
CD8+ 100-200,1,8,0,0,2,18,2,12,39,54,2,30,10,5,15,22,13,443,6,0
CD8+ 200-300,0,5,3,1,0,3,0,4,13,15,3,36,19,11,2,24,17,301,8,0
CD8+ 300-400,0,9,2,1,1,1,3,4,14,6,3,43,12,13,3,23,16,305,4,0
CD8+ 400-500,0,4,1,4,1,1,1,4,11,8,0,34,5,33,0,11,15,189,6,0
