,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
CD11c+,44603,42222,38376,12345,8761,35710,11721,6340,40705,78083,15041,27609,30387,5023,40915,32863,26145,68656,12725,20361
CD163+,923,8111,47208,962,7073,82493,18991,111,81189,1293,910,32091,140,6533,1206,11326,867,54077,766,1886
CD205+,899,229,12432,24,86,3338,2972,91,4443,185,262,2275,524,587,5480,1332,2089,10151,563,15
CD206+,6770,746,11396,1177,7752,35296,13049,615,59548,1667,19068,49109,24196,11132,470,26551,8490,58632,1442,5076
CD8+,134,100,246,31,71,187,172,48,224,236,22,708,186,253,42,255,92,2430,68,0
CD4+,689,1241,8260,60,489,5727,1644,169,17347,500,97,2495,189,2149,204,2479,684,38662,831,242
CD103+,649,1452,4538,521,3246,14287,27468,819,100996,1601,2810,17371,1243,4917,2316,1090,1096,11566,273,583
FOXP3+,6,45,104,0,0,293,117,4,269,1,2,108,20,151,23,141,24,147,9,5
GFAP+,54440,174606,20324,45321,3777,139066,27467,31502,20303,102245,33479,36831,91426,35600,33103,261363,74630,46469,9761,55248
GRZMB+,5,6,6,2,1,17,1,0,1,0,0,4,7,6,0,7,3,15,8,0
HLADR+,11003,29785,58100,1118,1706,42076,14411,4759,14652,26453,629,28145,4991,9300,6605,35557,3337,80887,1800,643
INFgamma+,17,84,19,64,4,73,10,18,8,0,18,18,38,23,58,103,36,37,1,10
Ki67+,5688,18021,8576,1138,819,19231,1869,681,1657,7549,629,810,16798,5350,22903,13465,7191,6131,3403,26463
NFAT1+,16,19,35,22,38,27,25,3,76,4,2,5,0,4,40,26,14,34,11,10
NFAT2+,0,3,17,4,1,0,1,5,25,0,0,2,1,2,0,18,2,9,0,0
